MWE,MWE_mean,MWE_std
skjuta sig i foten,4.238,1.269
skjuta sig i foten_foten,4.286,1.278
skjuta sig i foten_skjuta,4.143,1.283
skörda frukterna,3.5,0.866
skörda frukterna_frukterna,3.312,1.31
skörda frukterna_skörda,2.75,1.299
slänga-ur sig,3.417,0.862
slänga-ur sig_slänga-ur,3.333,1.374
snyta sig,0.625,1.409
snyta sig_snyta,0.312,0.682
sova sked,2.053,1.356
sova sked_sked,3.053,1.538
sova sked_sova,0.316,0.465
spilla tid,3.0,1.058
spilla tid_spilla,3.6,1.131
spilla tid_tid,1.2,1.549
spotta i glaset,3.714,0.881
spotta i glaset_glaset,1.786,1.567
spotta i glaset_spotta,3.071,1.534
sträcka sig,1.889,1.449
sträcka sig_sträcka,2.0,1.599
sätta punkt,2.947,1.638
sätta punkt_punkt,3.0,1.777
sätta punkt_sätta,2.737,1.712
ta i nackskinnet,3.857,0.915
ta i nackskinnet_nackskinnet,4.0,0.845
ta i nackskinnet_ta,2.643,1.493
tak över huvudet,1.647,1.281
tak över huvudet_huvudet,1.765,1.591
tak över huvudet_tak,1.706,1.404
tala i gåtor,2.933,1.236
tala i gåtor_gåtor,2.8,1.759
tala i gåtor_tala,0.533,0.618
tappa tråden,4.267,0.68
tappa tråden_tappa,3.0,1.155
tappa tråden_tråden,4.2,0.833
tappad bakom en vagn,4.444,0.831
tappad bakom en vagn_bakom,3.278,1.193
tappad bakom en vagn_tappad,3.611,1.253
tappad bakom en vagn_vagn,3.722,1.446
tidens tand,4.333,0.943
tidens tand_tand,4.417,1.187
tidens tand_tidens,1.25,1.09
torr bakom öronen,4.786,0.558
torr bakom öronen_torr,4.429,0.904
torr bakom öronen_öronen,4.643,0.811
torr i munnen,0.5,0.645
torr i munnen_munnen,0.25,0.433
torr i munnen_torr,0.667,0.943
ulv i fårakläder,4.261,1.188
ulv i fårakläder_fårakläder,4.217,1.317
ulv i fårakläder_ulv,4.087,1.1
uppe med tuppen,2.75,1.436
uppe med tuppen_tuppen,2.938,1.248
uppe med tuppen_uppe,0.625,0.696
uppföra sig som folk,1.667,1.155
uppföra sig som folk_folk,2.167,1.213
uppföra sig som folk_uppföra,0.611,0.826
visa tänderna,3.727,1.42
visa tänderna_tänderna,2.818,2.037
visa tänderna_visa,2.091,1.676
väga orden,3.611,1.061
väga orden_orden,1.278,1.193
väga orden_väga,4.111,1.1
vända kappan efter vinden,4.55,0.497
vända kappan efter vinden_kappan,3.95,1.322
vända kappan efter vinden_vinden,3.7,0.843
vända kappan efter vinden_vända,2.4,1.356
vända sig i sin grav,4.789,0.408
vända sig i sin grav_grav,3.789,1.398
vända sig i sin grav_vända,3.632,1.596
öm punkt,3.25,0.924
öm punkt_punkt,2.833,1.213
öm punkt_öm,2.667,1.7
öppet vatten,2.556,1.832
öppet vatten_vatten,1.444,1.641
öppet vatten_öppet,2.222,1.685
